ticker,company,sector,latest_price,avg_volume,total_return,volatility,beta
AAPL,Apple Inc.,Technology,319.9700012207031,55558243.81778742,1.6039916302923811,0.258881021824985,1.0966764888809535
MSFT,MICROSOFT CORP,Technology,499.70001220703125,25823536.22559653,1.1491497598211606,0.26406285619858627,1.0452731865833746
GOOGL,Alphabet Inc.,Technology,338.4599914550781,31986297.071583513,2.833939415937907,0.3076513999746826,1.2131102602008657
NVDA,NVIDIA CORP,Technology,230.36000061035156,320655091.4316703,15.127968284351176,0.483878197926238,2.115291316525964
CRM,"Salesforce, Inc.",Technology,259.2300109863281,8196397.722342733,0.9566318227708672,0.3729745295546424,1.0481055268306338
JPM,JPMORGAN CHASE & CO,Financials,358.6400146484375,9642688.828633405,1.8984481525652201,0.2302756336904984,0.8928436721429851
BAC,BANK OF AMERICA CORP /DE/,Financials,62.68000030517578,41045761.171366595,1.0560657287904691,0.24911953985252672,0.9559570896936549
WFC,WELLS FARGO & COMPANY/MN,Financials,89.97000122070312,17480656.61605206,1.3668256787046968,0.2826975768643251,0.9735528220435566
GS,,,1038.6099853515625,2271039.6963123647,2.281944334617187,0.2872864809541474,1.3143152539648082
MS,MORGAN STANLEY,Financials,217.72000122070312,6825849.023861172,1.8572926455017185,0.2817463652545041,1.275798482426061
JNJ,,,275.2300109863281,8891536.76789588,0.7193162492229108,0.1790062744364777,0.04769150255558265
PFE,PFIZER INC,Healthcare,28.450000762939453,39765058.45986985,-0.30571499747439534,0.23703961382084077,0.3876907590679984
UNH,UNITEDHEALTH GROUP INC,Healthcare,397.1400146484375,6546684.381778742,-0.18018362120335596,0.34669016876695696,0.27279758307564894
ABBV,AbbVie Inc.,Healthcare,256.4599914550781,5948327.006507592,0.8044862424710462,0.24023465543175337,0.24885021999162385
MRK,"Merck & Co., Inc.",Healthcare,150.3300018310547,10588798.047722343,0.5038330694916426,0.2533121510482169,0.27572023908519727
XOM,,,159.47000122070312,17014413.557483733,0.6932294240774162,0.2384421360030319,0.26048131988680445
CVX,CHEVRON CORP,Energy,208.60000610351562,8819610.195227766,0.3979326751747696,0.22976292325823006,0.37583273707845904
COP,CONOCOPHILLIPS,Energy,134.25999450683594,6838599.457700651,0.3376183698193085,0.2925858353321568,0.48711238381539285
SLB,SLB LIMITED/NV,Energy,57.5099983215332,12957094.902386118,0.2236476741653861,0.3377122473250876,0.9117436230957227
EOG,EOG RESOURCES INC,Energy,145.19000244140625,3516896.420824295,0.3357300703270578,0.27782771479174245,0.4269138069511374
AMZN,,,258.510009765625,48079751.30151844,2.0122350347807756,0.3272278459499916,1.4435797339218592
TSLA,"Tesla, Inc.",Consumer Discretionary,354.0799865722656,99513604.6637744,2.275485583443663,0.5790557438448856,2.3025836443186187
HD,"HOME DEPOT, INC.",Consumer Discretionary,321.04998779296875,3708009.6529284166,0.12062686792608801,0.22730330363410914,0.76977447465648
MCD,MCDONALDS CORP,Consumer Discretionary,255.69000244140625,3324558.459869848,0.05714163145363682,0.17381189550671808,0.2510642852331339
NKE,,,38.400001525878906,13783599.24078091,-0.6499978721013291,0.3459518735171362,0.897235197028513
BA,BOEING CO,Industrials,212.25,7561667.462039046,0.08628896393376406,0.33491338590817593,1.0902004307264899
CAT,CATERPILLAR INC,Industrials,813.9400024414062,2799058.7852494577,2.608104006718053,0.3181785920997619,1.2716659803821169
GE,GENERAL ELECTRIC CO,Industrials,337.1199951171875,6009841.197396963,5.482963163801623,0.30123973032031887,1.1346134445708482
HON,HONEYWELL INTERNATIONAL INC,Industrials,209.61000061035156,3515363.056399132,0.06979282062144865,0.22492251270764915,0.7850160340677979
UPS,UNITED PARCEL SERVICE INC,Industrials,102.29000091552734,4974905.965292841,-0.28795391404136605,0.2836695485653025,0.8284907224297419
META,"Meta Platforms, Inc.",Communication Services,616.77001953125,17884571.583514098,3.987864946254817,0.38976298017887245,1.5331521426590309
NFLX,NETFLIX INC,Communication Services,78.25,46135697.93926247,1.6529919570612153,0.34591138896337603,0.924047435973342
DIS,Walt Disney Co,Communication Services,105.30999755859375,10999826.572668113,0.22081507177528614,0.2750772273882799,0.9127925819269073
VZ,VERIZON COMMUNICATIONS INC,Communication Services,50.13999938964844,22225115.835141,0.6063200326154863,0.2282282884446811,0.0813412024544599
T,AT&T INC.,Communication Services,25.68000030517578,39911659.869848154,0.680921340111095,0.24121783936819333,0.06529275159235959
NEE,NEXTERA ENERGY INC,Utilities,83.43000030517578,10666439.696312364,0.10967447000343489,0.2629413928259136,0.3723039989004165
DUK,Duke Energy CORP,Utilities,120.22000122070312,3337857.917570499,0.33953255406976246,0.17086363360878246,0.03118492425060765
SO,SOUTHERN CO,Utilities,88.11000061035156,4827535.900216919,0.4004301906633736,0.17837358784902815,0.07663481185107854
D,"DOMINION ENERGY, INC",Utilities,65.83999633789062,5040217.462039046,0.2524523584293643,0.22715012460313175,0.2538931231366246
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,124.5,3373614.7505422994,0.504707078247707,0.19577612716947632,0.13067241838270394
PG,PROCTER & GAMBLE Co,Consumer Staples,146.44000244140625,7592115.618221258,0.06536696916715234,0.17305781566965228,0.1503408059751886
KO,COCA COLA CO,Consumer Staples,88.06999969482422,15217645.336225597,0.5516239244091643,0.15865162477533315,0.07312466268225092
PEP,PEPSICO INC,Consumer Staples,137.6300048828125,6509207.26681128,-0.12725365679490885,0.19069268891166813,0.1176148075589377
WMT,Walmart Inc.,Consumer Staples,107.13999938964844,19581198.047722343,1.3364764363771826,0.21577811149932916,0.3977125712681923
COST,COSTCO WHOLESALE CORP /NEW,Consumer Staples,915.739990234375,2069737.852494577,1.1142156795396025,0.20098657707348241,0.5169939249913188
