ticker,company,cik,fiscal_year,fiscal_year_end,Revenue,NetIncome,TotalAssets,TotalLiabilities,TotalEquity,LongTermDebt,OperatingIncome,CashFromOperations
NVDA,NVIDIA CORP,0001045810,2026,2026-01-25,,29760000000.0,111601000000,32274000000.0,22101000000.0,8463000000.0,32972000000.0,28090000000.0
AAPL,Apple Inc.,0000320193,2018,2018-09-29,,45687000000.0,375319000000,241272000000.0,119355000000.0,97207000000.0,60024000000.0,66231000000.0
GOOGL,Alphabet Inc.,0001652044,2025,2025-12-31,,73795000000.0,450256000000,125172000000.0,256144000000.0,10883000000.0,84293000000.0,101746000000.0
MSFT,MICROSOFT CORP,0000789019,2010,2010-06-30,,4289000000.0,77888000000,,36286000000.0,3746000000.0,22271000000.0,21612000000.0
META,"Meta Platforms, Inc.",0001326801,2017,2017-12-31,,3688000000.0,64961000000,5767000000.0,36096000000.0,,6225000000.0,10320000000.0
TSLA,"Tesla, Inc.",0001318605,2025,2025-12-31,,14997000000.0,122070000000,48390000000.0,72913000000.0,,8891000000.0,13256000000.0
JPM,JPMORGAN CHASE & CO,0000019617,2025,2025-12-31,,49552000000.0,3875393000000,3658056000000.0,327878000000.0,,,12974000000.0
WMT,Walmart Inc.,0000104169,2026,2026-01-31,,15511000000.0,252399000000,,91013000000.0,33401000000.0,27012000000.0,35726000000.0
ABBV,AbbVie Inc.,0001551152,2025,2025-12-31,,4863000000.0,135161000000,,3325000000.0,,12757000000.0,22839000000.0
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025,2025-12-31,,26305000000.0,3261299000000,2967336000000.0,273197000000.0,,,44982000000.0
COST,COSTCO WHOLESALE CORP /NEW,0000909832,2025,2025-08-31,,6292000000.0,68994000000,46209000000.0,23622000000.0,5794000000.0,8114000000.0,11068000000.0
CVX,CHEVRON CORP,0000093410,2025,2025-12-31,,21369000000.0,256938000000,103781000000.0,152318000000.0,,,35609000000.0
KO,COCA COLA CO,0000021344,2025,2025-12-31,,10714000000.0,100549000000,,24856000000.0,,11311000000.0,11599000000.0
CAT,CATERPILLAR INC,0000018230,2025,2025-12-31,,,87764000000,68270000000.0,,27351000000.0,12966000000.0,12885000000.0
MRK,"Merck & Co., Inc.",0000310158,2025,2025-12-31,,365000000.0,117106000000,,46313000000.0,34462000000.0,,13006000000.0
GE,GENERAL ELECTRIC CO,0000040545,2025,2025-12-31,,9482000000.0,123140000000,103576000000.0,19342000000.0,,,5189000000.0
UNH,UNITEDHEALTH GROUP INC,0000731766,2025,2025-12-31,,22381000000.0,273720000000,195687000000.0,,72359000000.0,32358000000.0,29068000000.0
NFLX,NETFLIX INC,0001065280,2025,2025-12-31,,5407990000.0,53630374000,28886807000.0,20777401000.0,13798351000.0,6954003000.0,7274301000.0
MS,MORGAN STANLEY,0000895421,2014,2014-12-31,,68000000.0,832702000000,763672000000.0,65921000000.0,,,
PG,PROCTER & GAMBLE Co,0000080424,2026,2026-06-30,,14879000000.0,125231000000,72946000000.0,,24995000000.0,18545000000.0,19846000000.0
HD,"HOME DEPOT, INC.",0000354950,2009,2010-01-31,,4395000000.0,41164000000,23387000000.0,25030000000.0,,7242000000.0,5727000000.0
WFC,WELLS FARGO & COMPANY/MN,0000072971,2019,2019-12-31,,22183000000.0,1895883000000,1698817000000.0,196166000000.0,,,18619000000.0
CRM,"Salesforce, Inc.",0001108524,2017,2017-01-31,,-262688000.0,12762920000,7760051000.0,3038510000.0,,-145633000.0,1181444000.0
