ticker,company,sector,fiscal_year,fiscal_year_end,Revenue,NetIncome,TotalAssets,TotalLiabilities,TotalEquity,LongTermDebt,OperatingIncome,CashFromOperations,ROA,ROE,Debt_to_Equity,Profit_Margin
NVDA,NVIDIA CORP,Technology,2026,2026-01-25,60922000000,29760000000,111601000000,32274000000.0,22101000000,8463000000.0,32972000000.0,28090000000.0,0.2666642772018172,1.3465454051852856,0.38292384959956566,0.4884934834706674
AAPL,Apple Inc.,Technology,2018,2018-09-29,215639000000,45687000000,375319000000,241272000000.0,119355000000,97207000000.0,60024000000.0,66231000000.0,0.12172844966548456,0.3827824556993842,0.8144359264379373,0.211867983064288
GOOGL,Alphabet Inc.,Technology,2025,2025-12-31,307394000000,73795000000,450256000000,125172000000.0,256144000000,10883000000.0,84293000000.0,101746000000.0,0.16389565047439678,0.288099662689737,0.04248781935161472,0.24006649446638517
MSFT,MICROSOFT CORP,Technology,2010,2010-06-30,13762000000,4289000000,77888000000,,36286000000,3746000000.0,22271000000.0,21612000000.0,0.05506624897288414,0.11819985669404177,0.10323540759521578,0.3116552826624037
META,"Meta Platforms, Inc.",Communication Services,2017,2017-12-31,17928000000,3688000000,64961000000,5767000000.0,36096000000,,6225000000.0,10320000000.0,0.05677252505349364,0.10217198581560284,,0.20571173583221777
TSLA,"Tesla, Inc.",Consumer Discretionary,2025,2025-12-31,96773000000,14997000000,122070000000,48390000000.0,72913000000,5535000000.0,8891000000.0,13256000000.0,0.12285573851069059,0.205683485798143,0.07591238873726222,0.15497091130790613
JPM,JPMORGAN CHASE & CO,Financials,2025,2025-12-31,158104000000,49552000000,3875393000000,3658056000000.0,327878000000,,,12974000000.0,0.012786316123293819,0.15112938349020064,,0.3134139553711481
WMT,Walmart Inc.,Consumer Staples,2026,2026-01-31,648125000000,15511000000,252399000000,,91013000000,33401000000.0,27012000000.0,35726000000.0,0.0614542846841707,0.1704262028501423,0.3669915286827157,0.023932111861137896
ABBV,AbbVie Inc.,Healthcare,2025,2025-12-31,54318000000,4863000000,135161000000,,3325000000,64503000000.0,12757000000.0,22839000000.0,0.03597931355938473,1.4625563909774435,19.3993984962406,0.0895283331492323
BAC,BANK OF AMERICA CORP /DE/,Financials,2025,2025-12-31,102769000000,26305000000,3261299000000,2967336000000.0,273197000000,283279000000.0,,44982000000.0,0.008065804453992105,0.09628583037149017,1.0369037727354253,0.25596240111317614
COST,COSTCO WHOLESALE CORP /NEW,Consumer Staples,2025,2025-08-31,242290000000,6292000000,68994000000,46209000000.0,23622000000,5794000000.0,8114000000.0,11068000000.0,0.09119633591326783,0.26636186605706547,0.2452798238929811,0.025968880267448098
CVX,CHEVRON CORP,Energy,2025,2025-12-31,200949000000,21369000000,256938000000,103781000000.0,152318000000,,,35609000000.0,0.0831679237792775,0.14029202064102733,,0.1063404147320962
KO,COCA COLA CO,Consumer Staples,2025,2025-12-31,45754000000,10714000000,100549000000,,24856000000,,11311000000.0,11599000000.0,0.10655501297874669,0.4310428065658191,,0.23416531887922368
CAT,CATERPILLAR INC,Industrials,2025,2025-12-31,67060000000,10332000000,87764000000,68270000000.0,15891000000,27351000000.0,12966000000.0,12885000000.0,0.11772480743812953,0.6501793468000755,1.7211629224089107,0.15407098121085594
MRK,"Merck & Co., Inc.",Healthcare,2025,2025-12-31,60115000000,365000000,117106000000,,46313000000,34462000000.0,,13006000000.0,0.0031168343210424745,0.00788115647874247,0.7441107248504739,0.006071695916160692
GE,GENERAL ELECTRIC CO,Industrials,2025,2025-12-31,35348000000,9482000000,123140000000,103576000000.0,19342000000,20469000000.0,,5189000000.0,0.07700178658437551,0.49022851825043945,1.058266983765898,0.2682471426954849
UNH,UNITEDHEALTH GROUP INC,Healthcare,2025,2025-12-31,371622000000,22381000000,273720000000,195687000000.0,81450000000,72359000000.0,32358000000.0,29068000000.0,0.08176603828730089,0.2747820748925721,0.8883855125844076,0.06022517504345814
NFLX,NETFLIX INC,Communication Services,2025,2025-12-31,33723297000,5407990000,53630374000,28886807000.0,20777401000,13798351000.0,6954003000.0,7274301000.0,0.10083819292403219,0.2602823134616307,0.6641038020106557,0.16036362043723068
MS,MORGAN STANLEY,Financials,2014,2014-12-31,26178000000,68000000,832702000000,763672000000.0,65921000000,153575000000.0,,,8.166186703046228e-05,0.0010315377497307383,2.329682498748502,0.0025976010390404156
PG,PROCTER & GAMBLE Co,Consumer Staples,2026,2026-06-30,84039000000,14879000000,125231000000,72946000000.0,47065000000,24995000000.0,18545000000.0,19846000000.0,0.11881243462082072,0.3161372569850207,0.5310740465313928,0.17704875117504967
HD,"HOME DEPOT, INC.",Consumer Discretionary,2009,2010-01-31,77349000000,4395000000,41164000000,23387000000.0,25030000000,,7242000000.0,5727000000.0,0.10676804975221067,0.1755892928485817,,0.056820385525346156
WFC,WELLS FARGO & COMPANY/MN,Financials,2019,2019-12-31,88389000000,22183000000,1895883000000,1698817000000.0,196166000000,229044000000.0,,18619000000.0,0.0117006165464852,0.11308279722276031,1.1676029485231896,0.2509701433436287
CRM,"Salesforce, Inc.",Technology,2017,2017-01-31,1511167000,-262688000,12762920000,7760051000.0,3038510000,,-145633000.0,1181444000.0,-0.020582123839998998,-0.08645289961198087,,-0.17383121786010414
VZ,VERIZON COMMUNICATIONS INC,Communication Services,2025,2025-12-31,133974000000,11614000000,384711000000,,93799000000,,22877000000.0,37475000000.0,0.030188895040692883,0.12381795115086515,,0.0866884619403765
PEP,PEPSICO INC,Consumer Staples,2025,2025-12-27,91471000000,9074000000,99467000000,81296000000.0,18041000000,37224000000.0,11986000000.0,13442000000.0,0.09122623583701127,0.5029654675461449,2.0633002605177095,0.09920083961036831
MCD,MCDONALDS CORP,Consumer Discretionary,2025,2025-12-31,25494000000,8469000000,56147000000,,-6003000000,38424000000.0,11647000000.0,9612000000.0,0.15083619783781857,-1.4107946026986506,-6.4007996001999,0.33219581077900684
DIS,Walt Disney Co,Communication Services,2025,2025-09-27,88898000000,2354000000,196219000000,,100696000000,38970000000.0,12863000000.0,9866000000.0,0.011996799494442434,0.023377294033526654,0.3870064352109319,0.02647978582195325
T,AT&T INC.,Communication Services,2025,2025-12-31,122428000000,14400000000,394795000000,,106457000000,122116000000.0,23461000000.0,38314000000.0,0.03647462607175876,0.1352658819993049,1.1470922532102164,0.11762015225275264
NEE,NEXTERA ENERGY INC,Utilities,2012,2012-12-31,15317000000,1957000000,57188000000,,12967000000,20810000000.0,3227000000.0,3834000000.0,0.03422046583199272,0.1509215701395851,1.60484306316033,0.12776653391656329
BA,BOEING CO,Industrials,2025,2025-12-31,77794000000,-2222000000,156363000000,160277000000.0,-3908000000,53625000000.0,-773000000.0,5960000000.0,-0.014210522949802703,0.5685772773797338,-13.721852610030707,-0.028562614083348332
PFE,PFIZER INC,Healthcare,2025,2025-12-31,59553000000,2119000000,213396000000,124899000000.0,88203000000,57405000000.0,,8700000000.0,0.009929895593169506,0.024024126163509178,0.6508282031223428,0.03558175070945208
COP,CONOCOPHILLIPS,Energy,2025,2025-12-31,56141000000,10957000000,95924000000,57984000000.0,48003000000,,,19965000000.0,0.11422584546098995,0.22825656729787722,,0.19516930585490105
SO,SOUTHERN CO,Utilities,2025,2025-12-31,25253000000,3976000000,139331000000,108506000000.0,33208000000,,5826000000.0,7553000000.0,0.02853636304914197,0.11973018549747048,,0.15744664000316794
DUK,Duke Energy CORP,Utilities,2012,2012-12-31,14272000000,1320000000,59090000000,,22772000000,17730000000.0,2461000000.0,4511000000.0,0.02233880521238788,0.05796592306341121,0.7785877393290005,0.09248878923766816
UPS,UNITED PARCEL SERVICE INC,Industrials,2017,2017-12-31,58363000000,4844000000,38311000000,,405000000,12394000000.0,7668000000.0,7430000000.0,0.12643888178329984,11.960493827160494,30.60246913580247,0.08299778969552628
SLB,SLB LIMITED/NV,Energy,2017,2017-12-31,35475000000,2072000000,68005000000,36427000000.0,41078000000,16463000000.0,6510000000.0,,0.03046834791559444,0.05044062515214957,0.40077413700764397,0.05840732910500352
EOG,EOG RESOURCES INC,Energy,2025,2025-12-31,24186000000,7594000000,43857000000,,24779000000,4220000000.0,9603000000.0,11340000000.0,0.17315365848097225,0.30646918761854797,0.17030550062552968,0.3139832961217233
HON,HONEYWELL INTERNATIONAL INC,Industrials,2011,2011-12-31,29951000000,1548000000,35993000000,,10666000000,6278000000.0,,3946000000.0,0.0430083627371989,0.14513407087942998,0.588599287455466,0.05168441788254149
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2025,2025-12-31,18982000000,2213000000,103078000000,76054000000.0,26944000000,39308000000.0,3556000000.0,5012000000.0,0.021469178680222745,0.0821333135391924,1.4588776722090262,0.11658413233589716
D,"DOMINION ENERGY, INC",Utilities,2025,2025-12-31,14393000000,1962000000,102415000000,72613000000.0,26863000000,46332000000.0,3414000000.0,6572000000.0,0.019157349997558953,0.0730372631500577,1.7247515169564085,0.13631626485096923
